,2007,2008,2009,2010,2011,2012,2013
absent_grade_8_absence_unexcused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_9_absence_unexcused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_6_absence_all_day,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_6_med_legal_all_day,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_6_school_transport_issue,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_6_tardy_unexcused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_7_absence_unexcused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_7_early_dismiss_approved,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_7_tardy_medical,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_9_suspension,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_7_suspension_in_school,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_8_early_dismiss_approved,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_8_suspension_in_school,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_5_misc,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_7_misc,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_8_misc,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_9_early_dismiss,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_9_misc,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_5_absence_all_day,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_5_tardy_excused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_6_field_trip,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_6_med_legal_am,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_7_absence_all_day,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_7_field_trip,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_8_absence_all_day,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_9_left_early,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_9_med_legal_am,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_5_early_dismiss,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_6_early_dismiss,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_8_early_dismiss,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_7_suspension,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_6_early_dismiss_approved,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_8_tardy_medical,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_9_arrive_late_not_tardy,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_7_tardy_excused,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_8_pm_absent,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_9_absence_all_day,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
absent_grade_9_pm_absent,0.9982332155477032,1.0,0.9948275862068966,0.5109797297297297,0.5625479662317728,0.6294194674814492,0.6585072231139647
